string_id,block_id,index,lang_id,len_chars,text
120,8,8,0,13,Found Faction
121,8,9,0,16,Buy Headquarters
122,8,10,0,6,Change
123,8,11,0,24,Transfer to Faction Pool
124,8,12,0,16,Leave Department
125,8,13,0,16,Faction Settings
126,8,14,0,22,Transfer Faction Funds
127,8,15,0,7,Disband
128,9,0,0,11,New Request
129,9,1,0,9,Remove Me
130,9,2,0,0,
131,9,3,0,7,Default
132,9,4,0,6,Delete
133,9,5,0,0,
134,9,6,0,0,
135,9,7,0,0,
136,9,8,0,0,
137,9,9,0,0,
138,9,10,0,6,Update
139,9,11,0,8,Add Note
140,9,12,0,11,Delete Note
141,9,13,0,10,Calculator
142,9,14,0,9,Calculate
143,9,15,0,0,
144,10,0,0,4,Vote
145,10,1,0,16,Capital Demotion
146,10,2,0,26,Restore Faction Privileges
147,10,3,0,27,Withdraw Faction Privileges
148,10,4,0,18,Administration Log
149,10,5,0,3,<<<
150,10,6,0,3,>>>
151,10,7,0,4,Back
152,10,8,0,4,Next
153,10,9,0,14,Randomize Body
154,10,10,0,13,My Department
155,10,11,0,7,Details
156,10,12,0,15,All Departments
157,10,13,0,6,Invite
158,10,14,0,3,+10
159,10,15,0,3,-10
160,11,0,0,4,Take
161,11,1,0,8,Take All
162,11,2,0,8,Overview
163,11,3,0,10,Statistics
164,11,4,0,7,Members
165,11,5,0,19,Start Objective Set
166,11,6,0,8,My Group
167,11,7,0,7,Details
168,11,8,0,10,All Groups
169,11,9,0,11,Found Group
170,11,10,0,11,Leave Group
171,11,11,0,20,Cancel Objective Set
172,11,12,0,27,Withdraw Faction Privileges
173,11,13,0,26,Restore Faction Privileges
174,11,14,0,9,Event Log
175,11,15,0,15,Hide Objectives
176,12,0,0,17,Unhide Objectives
177,12,1,0,0,
178,12,2,0,13,Rank Settings
179,12,3,0,1,+
180,12,4,0,1,-
181,12,5,0,11,Spawn Enemy
182,12,6,0,23,Abort All Enemy Attacks
183,12,7,0,11,Pay Members
184,12,8,0,6,Donate
185,12,9,0,19,Available Contracts
186,12,10,0,7,Details
187,12,11,0,12,New Contract
188,12,12,0,15,Mercenary Cells
189,12,13,0,23,Corporation Departments
190,12,14,0,13,Add Objective
191,12,15,0,15,Accept Contract
192,13,0,0,15,Delete Contract
193,13,1,0,15,Cancel Contract
194,13,2,0,12,Check Target
195,13,3,0,8,All NPCs
196,13,4,0,12,Add/Edit NPC
197,13,5,0,10,Edit Quest
198,13,6,0,10,All Quests
199,13,7,0,6,Accept
200,13,8,0,7,Decline
201,13,9,0,8,Complete
202,13,10,0,23,Submit without Position
203,13,11,0,8,Next Tip
204,13,12,0,12,Previous Tip
205,13,13,0,13,Found Mission
206,13,14,0,13,Skip Tutorial
207,13,15,0,13,Leave Mission
208,14,0,0,12,Join Mission
209,14,1,0,4,Join
210,14,2,0,13,Start Mission
211,14,3,0,11,Mission Log
212,14,4,0,13,Update Member
213,14,5,0,4,Back
214,14,6,0,9,Add Event
215,14,7,0,7,Faction
216,14,8,0,18,Group & Department
217,14,9,0,10,Leadership
218,14,10,0,7,Members
219,14,11,0,18,Perform Conversion
220,14,12,0,12,All Warrants
221,14,13,0,11,New Warrant
222,14,14,0,15,Search Warrants
223,14,15,0,12,Warrant List
224,15,0,0,23,Transfer Current Colony
225,15,1,0,14,Leave Petition
226,15,2,0,15,Form Department
227,15,3,0,16,Disband Petition
228,15,4,0,6,Search
229,15,5,0,14,View Blacklist
230,15,6,0,7,Current
231,15,7,0,8,Starting
232,15,8,0,15,Public Missions
233,15,9,0,10,Apartments
234,15,10,0,17,Public Apartments
235,15,11,0,0,
236,15,12,0,0,
237,15,13,0,0,
238,15,14,0,0,
239,15,15,0,0,
240,16,0,0,0,
241,16,1,0,0,
242,16,2,0,0,
243,16,3,0,0,
244,16,4,0,0,
245,16,5,0,5,Enter
246,16,6,0,15,Add %1!u! Hours
247,16,7,0,11,Reset Hints
248,16,8,0,26,Continue All Alien Attacks
249,16,9,0,12,Force Center
250,16,10,0,10,Play Sound
251,16,11,0,12,Force Follow
252,16,12,0,13,Cancel Follow
253,16,13,0,24,Activate Clone (Credits)
254,16,14,0,22,Activate Clone (Coins)
255,16,15,0,11,Unlock Perk
256,17,0,0,8,New Task
257,17,1,0,14,Tasks on World
258,17,2,0,13,Selected Task
259,17,3,0,0,
260,17,4,0,0,
261,17,5,0,0,
262,17,6,0,0,
263,17,7,0,12,Warrant List
264,17,8,0,14,Create Faction
265,17,9,0,17,Apply For Faction
266,17,10,0,20,Pending Applications
267,17,11,0,15,Pending Faction
268,17,12,0,14,Create Faction
269,17,13,0,19,Pending Invitations
270,17,14,0,17,Select Prev Layer
271,17,15,0,17,Select Next Layer
272,18,0,0,13,Discard Layer
273,18,1,0,9,Add Layer
274,18,2,0,11,Save Emblem
275,18,3,0,2,Up
276,18,4,0,4,Down
277,18,5,0,15,Duplicate Layer
278,18,6,0,13,Leave Faction
279,18,7,0,8,Add Rank
280,18,8,0,3,Pay
281,18,9,0,9,Perk Tree
282,18,10,0,11,Add Account
283,18,11,0,15,Transaction Log
284,18,12,0,4,+100
285,18,13,0,4,-100
286,18,14,0,7,Install
287,18,15,0,15,Search Missions
288,19,0,0,15,Review Missions
289,19,1,0,15,Current Mission
290,19,2,0,11,Add Faction
291,19,3,0,18,Create New Mission
292,19,4,0,16,View Mission Log
293,19,5,0,15,Disband Mission
294,19,6,0,9,Add Event
295,19,7,0,14,Link Generator
296,19,8,0,6,Pickup
297,19,9,0,13,Change Target
298,19,10,0,4,Heal
299,19,11,0,4,Stop
300,19,12,0,8,Withdraw
301,19,13,0,7,Recycle
302,19,14,0,7,Private
303,19,15,0,6,Public
304,20,0,0,18,Transfer Ownership
305,20,1,0,17,Search Apartments
306,20,2,0,8,Purchase
307,20,3,0,8,Bounties
308,20,4,0,11,Wanted List
309,20,5,0,7,Current
310,20,6,0,7,Created
311,20,7,0,15,Search Bounties
312,20,8,0,13,Create Bounty
313,20,9,0,5,Reset
314,20,10,0,6,Logout
315,20,11,0,4,Spin
316,20,12,0,6,Manage
317,20,13,0,16,Owner Withdrawal
318,20,14,0,19,Personal Withdrawal
319,20,15,0,4,Lock
320,21,0,0,10,Add Reward
321,21,1,0,16,Add Depending ID
322,21,2,0,7,Browser
323,21,3,0,17,Transport Buyback
324,21,4,0,7,Buyback
325,21,5,0,3,Arm
326,21,6,0,6,Disarm
327,21,7,0,13,Activate Perk
328,21,8,0,15,Deactivate Perk
329,21,9,0,14,Take Ownership
330,21,10,0,16,Assign Ownership
331,21,11,0,13,Submit Rental
332,21,12,0,27,Initiate Territory Lockdown
333,21,13,0,9,Play Game
334,21,14,0,11,Departments
335,21,15,0,14,Add Department
336,22,0,0,10,Add Member
337,22,1,0,0,
338,22,2,0,0,
339,22,3,0,0,
340,22,4,0,0,
341,22,5,0,0,
342,22,6,0,0,
343,22,7,0,0,
344,22,8,0,0,
345,22,9,0,0,
346,22,10,0,0,
347,22,11,0,0,
348,22,12,0,0,
349,22,13,0,0,
350,22,14,0,0,
351,22,15,0,0,
384,25,0,0,0,
385,25,1,0,0,
386,25,2,0,0,
387,25,3,0,0,
388,25,4,0,0,
389,25,5,0,0,
390,25,6,0,0,
391,25,7,0,0,
392,25,8,0,0,
393,25,9,0,0,
394,25,10,0,0,
395,25,11,0,0,
396,25,12,0,0,
397,25,13,0,0,
398,25,14,0,0,
399,25,15,0,9,INVENTORY
400,26,0,0,17,Movement Controls
401,26,1,0,13,Item Handling
402,26,2,0,6,Camera
403,26,3,0,9,Interface
404,26,4,0,0,
405,26,5,0,15,Face of Mankind
406,26,6,0,20,Fall of the Dominion
407,26,7,0,7,NOTEPAD
408,26,8,0,10,CALCULATOR
409,26,9,0,12,COMMUNICATOR
410,26,10,0,12,GAME OPTIONS
411,26,11,0,6,SHIELD
412,26,12,0,8,BACKPACK
413,26,13,0,18,CHARACTER DESIGNER
414,26,14,0,14,CLONING STATUS
415,26,15,0,13,SKILL MANAGER
416,27,0,0,7,FRIENDS
417,27,1,0,18,SELECT DESTINATION
418,27,2,0,7,STORAGE
419,27,3,0,18,PRODUCTION MANAGER
420,27,4,0,6,MARKET
421,27,5,0,21,ITEM SALE APPLICATION
422,27,6,0,15,FACTION MANAGER
423,27,7,0,13,EMBLEM EDITOR
424,27,8,0,12,CITIZEN FILE
425,27,9,0,13,GOAL CREATION
426,27,10,0,11,NEW WARRANT
427,27,11,0,17,HACKING INTERFACE
428,27,12,0,21,WORLD SERVICE MANAGER
429,27,13,0,12,FUND MANAGER
430,27,14,0,24,MEDICAL SERVICE TERMINAL
431,27,15,0,17,CHEMICAL REFINERY
432,28,0,0,15,MISSION MANAGER
433,28,1,0,11,MISSION LOG
434,28,2,0,12,MARKET TAXES
435,28,3,0,16,SCHEMATIC MARKET
436,28,4,0,12,SKILL MARKET
437,28,5,0,15,MINERAL SCANNER
438,28,6,0,19,INFLUENCE GENERATOR
439,28,7,0,12,MEDICAL UNIT
440,28,8,0,10,MINING RIG
441,28,9,0,14,REPAIR STATION
442,28,10,0,15,RECYCLE STATION
443,28,11,0,15,APARTMENT ENTRY
444,28,12,0,14,NODE SELECTION
445,28,13,0,8,MULTICOM
446,28,14,0,14,VORTEX NETWORK
447,28,15,0,22,APARTMENT INFILTRATION
448,29,0,0,14,BOUNTY MANAGER
449,29,1,0,17,MINERAL COLLECTOR
450,29,2,0,12,TRADE DIALOG
451,29,3,0,15,STANDARD MARKET
452,29,4,0,12,SLOT MACHINE
453,29,5,0,14,CASINO MANAGER
454,29,6,0,12,BAIL MANAGER
455,29,7,0,14,PRISON MANAGER
456,29,8,0,10,HUNTER LOG
457,29,9,0,4,LOOT
458,29,10,0,10,NPC EDITOR
459,29,11,0,13,REWARD EDITOR
460,29,12,0,10,NPC DIALOG
461,29,13,0,7,BROWSER
462,29,14,0,7,BLOCKED
463,29,15,0,17,TRANSPORT BUYBACK
464,30,0,0,16,EXPLOSIVE CHARGE
465,30,1,0,24,TERRITORY OBJECT MANAGER
466,30,2,0,23,TERRITORY POWER MANAGER
467,30,3,0,18,OWNERSHIP CONTRACT
468,30,4,0,15,CLOTHING MARKET
469,30,5,0,13,DID YOU KNOW?
470,30,6,0,17,TERRITORY MANAGER
471,30,7,0,6,TURRET
472,30,8,0,0,
473,30,9,0,0,
474,30,10,0,0,
475,30,11,0,0,
476,30,12,0,0,
477,30,13,0,0,
478,30,14,0,0,
479,30,15,0,0,
496,32,0,0,0,
497,32,1,0,0,
498,32,2,0,0,
499,32,3,0,0,
500,32,4,0,12,Sound Volume
501,32,5,0,10,Max Sounds
502,32,6,0,12,Music Volume
503,32,7,0,10,Resolution
504,32,8,0,16,Gamma Correction
505,32,9,0,14,Texture Detail
506,32,10,0,19,Trilinear Filtering
507,32,11,0,16,Triple Buffering
508,32,12,0,7,Shadows
509,32,13,0,20,Environment Mapping°
510,32,14,0,15,Normal Mapping°
511,32,15,0,14,Dynamic Lights
512,33,0,0,15,Weather Effects
513,33,1,0,29,Specular Highlights on Models
514,33,2,0,16,Detail Textures°
515,33,3,0,16,Wait for V-Synch
516,33,4,0,25,Model Lighting Complexity
517,33,5,0,12,Model Detail
518,33,6,0,0,
519,33,7,0,0,
520,33,8,0,63,° - Requires world to be reloaded for the change to take effect
521,33,9,0,0,
522,33,10,0,0,
523,33,11,0,0,
524,33,12,0,0,
525,33,13,0,0,
526,33,14,0,0,
527,33,15,0,0,
560,36,0,0,0,
561,36,1,0,0,
562,36,2,0,0,
563,36,3,0,0,
564,36,4,0,0,
565,36,5,0,0,
566,36,6,0,0,
567,36,7,0,0,
568,36,8,0,19,Invert Mouse Y-Axis
569,36,9,0,17,Mouse Sensitivity
570,36,10,0,15,Mouse Smoothing
571,36,11,0,0,
572,36,12,0,0,
573,36,13,0,12,Demographics
574,36,14,0,15,World Royalties
575,36,15,0,8,Finances
576,37,0,0,33,Message from your faction leader:
577,37,1,0,20,Diplomatic Relations
578,37,2,0,14,Window Opacity
579,37,3,0,22,Window Element Opacity
580,37,4,0,12,Text Opacity
581,37,5,0,19,Chat Message Sounds
582,37,6,0,13,Show Tooltips
583,37,7,0,17,Show Chat Bubbles
584,37,8,0,8,Show Map
585,37,9,0,80,Active Capital: %1!d! UC (Income %2!d! UC / Expenses %3!d! UC / Profit %4!d! UC)
586,37,10,0,0,
587,37,11,0,23,Faction Member Database
588,37,12,0,17,Faction Event Log
589,37,13,0,14,Voting Ballots
590,37,14,0,0,
591,37,15,0,0,
592,38,0,0,0,
593,38,1,0,0,
594,38,2,0,0,
595,38,3,0,0,
596,38,4,0,5,World
597,38,5,0,7,Turrets
598,38,6,0,6,Online
599,38,7,0,7,Offline
600,38,8,0,8,Windowed
601,38,9,0,10,Game Login
602,38,10,0,8,Username
603,38,11,0,8,Password
604,38,12,0,26,Select your starter skills
605,38,13,0,6,Gender
606,38,14,0,22,Define Your Appearance
607,38,15,0,25,Enter your Character Name
608,39,0,0,9,Full Name
609,39,1,0,3,Tag
610,39,2,0,9,Biography
611,39,3,0,20,Block Trade Requests
612,39,4,0,23,Administrative Features
613,39,5,0,7,Min. XP
614,39,6,0,47,Please enter the access code to open this door!
615,39,7,0,5,Inbox
616,39,8,0,13,Sent Messages
617,39,9,0,14,Vortex Network
618,39,10,0,18,Trading with %1!s!
619,39,11,0,14,Opponent Offer
620,39,12,0,12,Negotiation:
621,39,13,0,10,Your Offer
622,39,14,0,13,Personal Data
623,39,15,0,8,Enemies:
624,40,0,0,6,Energy
625,40,1,0,9,Ballistic
626,40,2,0,7,Reason:
627,40,3,0,9,Event Log
628,40,4,0,21,Most Wanted Criminals
629,40,5,0,8,Comments
630,40,6,0,22,Apartment Entry System
631,40,7,0,14,Own Apartments
632,40,8,0,13,Apartment No.
633,40,9,0,10,Entry Code
634,40,10,0,21,Duration (Game Hours)
635,40,11,0,18,Energy Cost Factor
636,40,12,0,29,Market Transaction Tax (in %)
637,40,13,0,17,Mining Tax (in %)
638,40,14,0,21,Production Tax (in %)
639,40,15,0,17,Military Progress
640,41,0,0,13,Select World:
641,41,1,0,15,Select Faction:
642,41,2,0,16,Select Priority:
643,41,3,0,17,Economic Activity
644,41,4,0,17,Current Royalties
645,41,5,0,17,Current Tax Rates
646,41,6,0,34,Display Passive Objective Progress
647,41,7,0,11,Ending Time
648,41,8,0,21,DURATION (GAME DAYS):
649,41,9,0,6,UNITS:
650,41,10,0,6,PRICE:
651,41,11,0,16,Storage Contents
652,41,12,0,15,Joining Timeout
653,41,13,0,6,Price:
654,41,14,0,13,Market Offers
655,41,15,0,5,COST:
656,42,0,0,21,Treatment in progress
657,42,1,0,13,Faction Goals
658,42,2,0,15,Objective Type:
659,42,3,0,15,Medical Service
660,42,4,0,10,Clone Bank
661,42,5,0,18,MINING IN PROGRESS
662,42,6,0,13,EFFECTIVENESS
663,42,7,0,19,Available Materials
664,42,8,0,14,MINING CONTROL
665,42,9,0,9,Material:
666,42,10,0,5,Item:
667,42,11,0,20,Show Unowned Modules
668,42,12,0,18,Available Products
669,42,13,0,25,Select Production Scheme:
670,42,14,0,19,Variable Parameter:
671,42,15,0,7,Target:
672,43,0,0,18,Choose Entry Point
673,43,1,0,14,Start Tutorial
674,43,2,0,19,Area controlled by:
675,43,3,0,12,Sound Driver
676,43,4,0,20,Activate EAX Effects
677,43,5,0,17,Change Entry Code
678,43,6,0,11,Group Type:
679,43,7,0,7,Faction
680,43,8,0,19,Faction Departments
681,43,9,0,41,Would you like to found a new department?
682,43,10,0,11,Member List
683,43,11,0,12,Headquarters
684,43,12,0,18,PRODUCTION CONTROL
685,43,13,0,11,STOP MINING
686,43,14,0,12,PRODUCTIVITY
687,43,15,0,15,STOP PRODUCTION
688,44,0,0,20,Transfer / Transport
689,44,1,0,10,Item Type:
690,44,2,0,17,Duration in Days:
691,44,3,0,22,Select Number of Units
692,44,4,0,20,Only items I can use
693,44,5,0,25,Only list my own requests
694,44,6,0,7,Subject
695,44,7,0,4,Text
696,44,8,0,14,Name of Player
697,44,9,0,15,Department Name
698,44,10,0,6,Reason
699,44,11,0,9,Rank Name
700,44,12,0,22,Function of Department
701,44,13,0,22,Area of Responsibility
702,44,14,0,11,Departments
703,44,15,0,7,Max. XP
704,45,0,0,12,Min. Penalty
705,45,1,0,12,Max. Penalty
706,45,2,0,24,Enable Chat Swear Filter
707,45,3,0,13,Buy Apartment
708,45,4,0,37,Would you like to create a new group?
709,45,5,0,16,Available Groups
710,45,6,0,13,Status: %1!s!
711,45,7,0,21,Selected Destination:
712,45,8,0,16,Transport Costs:
713,45,9,0,20,Objective Categories
714,45,10,0,25,Locations (Faction Goals)
715,45,11,0,20,Completed Objectives
716,45,12,0,19,Title & Description
717,45,13,0,10,Expression
718,45,14,0,9,Variables
719,45,15,0,6,Result
720,46,0,0,31,Only list my own voting ballots
721,46,1,0,20,Faction Credits (FC)
722,46,2,0,4,Face
723,46,3,0,9,Hairstyle
724,46,4,0,18,Clothes Upper Body
725,46,5,0,18,Clothes Lower Body
726,46,6,0,5,Shoes
727,46,7,0,4,Skin
728,46,8,0,29,Overview Of All Known Systems
729,46,9,0,15,Available Nodes
730,46,10,0,12,Earth Cities
731,46,11,0,10,Resources:
732,46,12,0,17,World Crime Rate:
733,46,13,0,67,WARNING: Holster your weapon immediately or you will be fired upon!
734,46,14,0,11,Experience:
735,46,15,0,8,Penalty:
736,47,0,0,8,FASHION:
737,47,1,0,10,UPPER BODY
738,47,2,0,5,BODY:
739,47,3,0,24,Send market sale reports
740,47,4,0,6,GENDER
741,47,5,0,4,SKIN
742,47,6,0,4,HAIR
743,47,7,0,4,FACE
744,47,8,0,11,Saved Inbox
745,47,9,0,12,Saved Outbox
746,47,10,0,10,LOWER BODY
747,47,11,0,27,Enable Faction Stance Icons
748,47,12,0,12,Enable Hints
749,47,13,0,5,SHOES
750,47,14,0,7,GLASSES
751,47,15,0,33,Show Private Chat in General Chat
752,48,0,0,158,"For a small fee of %1!u! Credits or %2!u! Coins, you will be able to bypass the clone initialization phase and immediately be released from your cloning tube."
753,48,1,0,26,Transport Storage Contents
754,48,2,0,15,Production Cost
755,48,3,0,8,Quantity
756,48,4,0,8,Subtotal
757,48,5,0,3,Tax
758,48,6,0,10,Total Cost
759,48,7,0,15,Completion Time
760,48,8,0,18,ITEM CUSTOMIZATION
761,48,9,0,68,"Item: %1!s!
Quantity: %2!u! Total Cost: %3!u!
Completion Time: %4!s!"
762,48,10,0,14,Filter Options
763,48,11,0,10,Min. Price
764,48,12,0,10,Max. Price
765,48,13,0,15,Min. Durability
766,48,14,0,15,Max. Durability
767,48,15,0,13,Selected Item
768,49,0,0,7,Amount:
769,49,1,0,8,Sort by:
770,49,2,0,14,Search Results
771,49,3,0,10,Min. Value
772,49,4,0,10,Max. Value
773,49,5,0,9,Item Name
774,49,6,0,24,Hide items w/ attributes
775,49,7,0,4,Name
776,49,8,0,7,Message
777,49,9,0,8,"Leader: "
778,49,10,0,8,Members:
779,49,11,0,11,Name: %1!s!
780,49,12,0,43,<font color='BFC7FF00'>Leader:</font> %1!s!
781,49,13,0,41,Members to found: %1!s! - Deadline: %2!s!
782,49,14,0,14,Invite Member:
783,49,15,0,19,Pending Invitations
784,50,0,0,55,%1!s! - Status: %2!s! - Invited By: %3!s! - Ends: %4!s!
785,50,1,0,38,<font color='FF000000'>Rejected</font>
786,50,2,0,7,Pending
787,50,3,0,43,<font color='BFC7FF00'>Leader:</font> %1!s!
788,50,4,0,44,<font color='BFC7FF00'>Members:</font> %1!u!
789,50,5,0,50,<font color='BFC7FF00'>Founding Time:</font> %1!s!
790,50,6,0,15,Faction Message
791,50,7,0,17,Horizontal Offset
792,50,8,0,15,Vertical Offset
793,50,9,0,8,Rotation
794,50,10,0,11,Width Scale
795,50,11,0,12,Height Scale
796,50,12,0,7,Opacity
797,50,13,0,9,Red Color
798,50,14,0,11,Green Color
799,50,15,0,10,Blue Color
800,51,0,0,11,Emblem Cost
801,51,1,0,10,Swap Layer
802,51,2,0,17,Finances Overview
803,51,3,0,27,World Ownership Information
804,51,4,0,17,Faction Relations
805,51,5,0,17,Rank Demographics
806,51,6,0,14,Current Funds:
807,51,7,0,11,Day Income:
808,51,8,0,13,Day Expenses:
809,51,9,0,11,Day Profit:
810,51,10,0,12,Add Relation
811,51,11,0,23,Faction Member Database
812,51,12,0,10,Min. Level
813,51,13,0,10,Max. Level
814,51,14,0,11,Min Penalty
815,51,15,0,12,Max. Penalty
816,52,0,0,9,Full Name
817,52,1,0,11,Online Only
818,52,2,0,20,Membership Blacklist
819,52,3,0,31,%1!s! - By: %2!s! Reason: %3!s!
820,52,4,0,18,Invite New Members
821,52,5,0,12,Applications
822,52,6,0,18,Public Description
823,52,7,0,20,Pending Applications
824,52,8,0,11,Application
825,52,9,0,9,PP: %1!u!
826,52,10,0,18,Allow Applications
827,52,11,0,19,Applicable Factions
828,52,12,0,11,Description
829,52,13,0,16,Application Text
830,52,14,0,30,Leader: %1!s! - Members: %2!u!
831,52,15,0,20,Pending Applications
832,53,0,0,9,Rank List
833,53,1,0,16,Rank Permissions
834,53,2,0,5,Title
835,53,3,0,33,Ability to change faction message
836,53,4,0,35,Ability to change faction relations
837,53,5,0,31,Ability to change faction goals
838,53,6,0,34,Ability to change faction warrants
839,53,7,0,32,Ability to change faction emblem
840,53,8,0,46,Ability to change world service relation taxes
841,53,9,0,19,Can change ranks of
842,53,10,0,38,Ability to remove members from faction
843,53,11,0,40,Ability to invite members to the faction
844,53,12,0,30,Ability to accept applications
845,53,13,0,30,Ability to reject applications
846,53,14,0,45,Ability to blacklist members and applications
847,53,15,0,26,Ability to create missions
848,54,0,0,34,Ability to approve mission rewards
849,54,1,0,0,
850,54,2,0,2,%%
851,54,3,0,0,
852,54,4,0,37,Maximum Daily Universal Credit reward
853,54,5,0,7,No Rank
854,54,6,0,29,(not a member of any faction)
855,54,7,0,26,- Administrative Actions -
856,54,8,0,23,Faction Fund Management
857,54,9,0,16,Faction Accounts
858,54,10,0,14,Cycle Expenses
859,54,11,0,19,Pay Members By Rank
860,54,12,0,6,Amount
861,54,13,0,2,UC
862,54,14,0,13,Payout Factor
863,54,15,0,13,Faction Goals
864,55,0,0,9,Event Log
865,55,1,0,31,Ability to change payout factor
866,55,2,0,30,Ability to pay members by rank
867,55,3,0,55,World: %1!s! - World Service: %2!s! - Created By: %3!s!
868,55,4,0,2,PP
869,55,5,0,4,List
870,55,6,0,6,Issuer
871,55,7,0,6,Target
872,55,8,0,10,Identifier
873,55,9,0,13,Factions Only
874,55,10,0,19,Length (game hours)
875,55,11,0,15,Indefinite Only
876,55,12,0,5,Color
877,55,13,0,10,Against Me
878,55,14,0,13,By My Faction
879,55,15,0,10,Indefinite
880,56,0,0,7,Details
881,56,1,0,11,Ends: %1!s!
882,56,2,0,16,Issued By: %1!s!
883,56,3,0,40,<font color='%1!s!'>[%2!s!]</font> %3!s!
884,56,4,0,48,Target: <font color='%1!s!'>[%2!s!]</font> %3!s!
885,56,5,0,41,Ends: <font color='FF000000'>NEVER</font>
886,56,6,0,5,Yield
887,56,7,0,10,Categories
888,56,8,0,6,Skills
889,56,9,0,26,Selected Skill Information
890,56,10,0,5,Queue
891,56,11,0,16,Remaining: %1!s!
892,56,12,0,13,Mission Title
893,56,13,0,6,Effect
894,56,14,0,7,Balance
895,56,15,0,15,Transfer Amount
896,57,0,0,7,Account
897,57,1,0,6,Player
898,57,2,0,19,Can manage accounts
899,57,3,0,14,Search Filters
900,57,4,0,14,Filter Presets
901,57,5,0,12,Pending Only
902,57,6,0,10,Date Range
903,57,7,0,11,Type Filter
904,57,8,0,12,Value Filter
905,57,9,0,12,World Filter
906,57,10,0,20,World Service Filter
907,57,11,0,12,Greater than
908,57,12,0,9,Less than
909,57,13,0,8,Equal to
910,57,14,0,3,Any
911,57,15,0,14,Storage Rental
912,58,0,0,12,Renewal Date
913,58,1,0,12,Renewal Cost
914,58,2,0,11,Level %1!u!
915,58,3,0,22,(%1!u!h %2!u!m %3!u!s)
916,58,4,0,31,Owned for: %1!u!h %2!u!m %3!u!s
917,58,5,0,9,Hacked By
918,58,6,0,9,Influence
919,58,7,0,5,COINS
920,58,8,0,10,After Tax:
921,58,9,0,21,Treatment in progress
922,58,10,0,20,Install Augmentation
923,58,11,0,20,Manage Augmentations
924,58,12,0,24,%1!u! Clone(s) Remaining
925,58,13,0,21,Additional Components
926,58,14,0,21,Select World Service:
927,58,15,0,12,Select Type:
928,59,0,0,16,Allowed Factions
929,59,1,0,21,Mission Configuration
930,59,2,0,12,Mission Type
931,59,3,0,18,World Service Type
932,59,4,0,14,Payment Method
933,59,5,0,14,Payment Amount
