item_id,item_name,item_type,item_subtype,equip_slot,Health,Stamina,Bio Energy,Aura,Universal Credits,Faction Credits,Penalty,Prisoner Status,Highest Penalty,Most-Wanted Status,Wanted Status,Agility,Ballistic Damage,Energy Damage,Bio Damage,Aura Damage,Destruction,Weapon Recoil,Armor,Shielding,Resistance,Reflection,Health Regeneration,Stamina Regeneration,Bio Regeneration,Aura Regeneration,Coins,Healing Cooldown,Food Cooldown,Xeno Damage,Health Drain,Stamina Drain,Bio Energy Drain,Aura Drain,Protection Bypass,Effective Range,Weapon Fire Delay,Blank 1,Blank 2,Weight,Jump Velocity Multiplier,Fall Damage Multiplier,Nightvision,Soundless Movement,Activation Distance,Sprint Speed Multiplier,Max Stamina,Bio Energy Replenishing Cooldown,stat_0x30
12,Linner PP7,3/4,,,,,,,,,,,,,,,,15.9,,,6.7,33.3%,,,,,,,,,,,,11.1,,,,,,20m,0.80s,,,8500g,,,,,,,,,
13,DOA 187,3/4,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,30.0,,,,,,5m,5.00s,,,500g,,,,,,,,,
14,Salvotec HP220,3/4,,,,,,,,,,,,,,,,,,,350.0,,,,,,,,,,,,,,,,,,,10m,5.00s,,,500g,,,,,,,,,
15,EMP-Rv3,3/4,,,,,,,,,,,,,,,3.8,,,,2.4,16.7%,,,,,,,,,,,,4.1,,,,,,4m,0.20s,,,4000g,,,,,,,,,
16,Gakk MG6,3/4,,,,,,,,,,,,,,,29.7,,,,19.2,43.3%,,,,,,,,,,,,15.6,,,,,,50m,3.00s,,,12000g,,,,,,,,,
17,Hallem TAR7 Tactical Assault Rifle,3/4,,,,,,,,,,,,,,,,,,16.6,,20.0%,,,,,,,,,,,,,,,,,,10m,0.40s,,,2000g,,,,,,,,,
18,Protonix Barracuda,3/4,,,,,,,,,,,,,,,,,5.7,,12.5,16.7%,,,,,,,,,,,,,,,,,,10m,0.30s,,,2000g,,,,,,,,,
19,Chrono Enervon Pistol EP24,3/4,,,,,,,,,,,,,,,,,12.0,,25.1,33.3%,,,,,,,,,,,,,,,,,,37m,0.55s,,,4000g,,,,,,,,,
20,Aurelian Technologies Dominator,3/4,,,,,,,,,,,,,,,,,,20.0,,33.3%,,,,,,,,,,,,,,,,,,37m,0.47s,,,4000g,,,,,,,,,
21,Enfield Incapacitator Rifle ER-X,5,,,6.1%,,,7.2%,,,,,,,,,,,,,,13.3%,33,33,33,33,,,,,,,,,,,,,,7m,2.00s,,,4000g,,,,,,,,,
22,CryoTech Medigun CM2,3/4,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,15000g,,,,,,,,,
23,Personal Turret,3/4,,,,,,,,,,,,,,,,,,,,33.3%,,,,,,,,,,,,28.3,,,,,,30m,0.67s,,,5000g,,,,,,,,,
24,,6,,,,,,,,,,,,,,,,,,,,26.7%,,,,,,,,,,,,,,,,,,37m,1.60s,,,5000g,,,,,,,,,
25,RK 2a7 Mining Tool,6,,,,,,,,,,,,,,,,,,,,26.7%,,,,,,,,,,,,,,,,,,37m,1.60s,,,5000g,,,,,,,,,
28,,3/4,,,,,,,,,,,,,,,,40.8,,,23.4,43.3%,,,,,,,,,,,,16.8,,,,,,50m,3.50s,,,13000g,,,,,,,,,
29,,5,,,2.6%,,,2.6%,,,,,,,,,,,,,,13.3%,25,25,25,25,,,,,,,,,,,,,,7m,0.34s,,,1000g,,,,,,,,,
30,CryoTech Medigun CM1,3/4,,,,,,,,,,,,,,,,,,,,33.3%,,,,,,,,,,,,9.7,,,,,,30m,0.67s,,,5000g,,,,,,,,,
31,Frostbite,6,,,,,,,,,,,,,,,,,,,,26.7%,,,,,,,,,,,,,,,,,,37m,1.60s,,,5000g,,,,,,,,,
32,,3/4,,,,,,,,,,,,,,,,,,,,26.7%,,,,,,,,,,,,5.0,,,,,,25m,0.55s,,,5000g,,,,,,,,,
33,Linner PP-X,3/4,,,,,,,,,,,,,,,38.4,,,,21.6,43.3%,,,,,,,,,,,,31.2,,,,,,50m,3.00s,,,13000g,,,,,,,,,
34,Hawk-72,3/4,,,,,,,,,,,,,,,11.5,,,,4.9,26.7%,,,,,,,,,,,,6.3,,,,,,10m,0.60s,,,4000g,,,,,,,,,
35,,3/4,,,,,,,,,,,,,,,7.6,,,,5.4,30.0%,,,,,,,,,,,,4.6,,,,,,22m,0.47s,,,5000g,,,,,,,,,
36,Backer Rifle,3/4,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,15000g,,,,,,,,,
37,Territory Turret,3/4,,,,,,,,,,,,,,,6.4,,,,7.4,23.3%,,,,,,,,,,,,6.4,,,,,,10m,0.40s,,,1000g,,,,,,,,,
50,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
51,9mm Standard Rounds,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300g,,,,,,,,,
52,Energy Cell,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300g,,,,,,,,,
53,7.62mm Standard Rounds,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400g,,,,,,,,,
54,High Capacity Energy Cell,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500g,,,,,,,,,
55,Plutonium Cell,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200g,,,,,,,,,
56,5.54mm Standard Rounds,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500g,,,,,,,,,
57,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150g,,,,,,,,,
58,9mm Rubber Rounds,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
59,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
80,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0%,,,,,,,,,,,,,,,1000g,,,,,,,,20,
81,,1,,,,,,,,,,,,,,,,,,,,,,,,,2.1%,,,,,,,,,,,,,,,,,500g,,,,,,,,,
82,,1,,,,,,,,,,,,,,,,,,,,,,,,,2.7%,,,,,,,,,,,,,,,,,1000g,,,,,,,,,
83,,1,,,,,,,,,,,,,,,,,,,,,,,,,3.3%,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
84,,1,,,,,,,,,,,,,,,,,,,,,,,,,3.5%,,,,,,,,,,,,,,,,,2000g,,,,,,,,,
85,Emergency MediKit,1,,,,,,,,,,,,,,,,,,,,,,,,,4.0%,,,,,10,,,,,,,,,,,,250g,,,,,,,,,
86,Nanomachine Autoinjector,1,,,,,,,,,,,,,,,,,,,,,,,,,5.0%,,,,,10,,,,,,,,,,,,250g,,,,,,,,,
87,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0%,,,,,,,,,,,,,,250g,,,,,,,,,10
88,Adrenaline Autoinjector,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0%,,,,,,,,,,,,,,,250g,,,,,,,,10,
100,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3%,,,,,,,,,,,,,,,,
101,Night Vision Augmentation,6,,,,,,,,,,,,,,10.0%,,,,,,,,,,,,,,,,,,,,,3.7%,,,,,,,,,,,,,,,,
102,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3%,,,,,,,,,,,,,,,,
103,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.6%,,,,,,,,,,3.0%,,,,,,,,,,,,,,,,
104,,5,,,,,,,,,,,,,,,,,,,,,192,192,86,86,,,,,,,,,,,4.2%,,,,,,,,,,,,,,,,
105,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5%,,,,,,,,,,,,,,,,
106,Infiltration Scanner Augmentation,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2%,,,,,,,,,,,,,,,,
107,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4%,,,0m,,,,,,,,,,,,,
108,Mineral Scanner,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6%,,,,,,,,,,,,,,,,
530,,5,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
531,,5,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
532,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1%,,,,,,,,,,,,,,250g,,,,,,,,,
533,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.070s,,,,,,,,,,,,,,,,250g,,,,,,,,,
534,,6,,,,,,,,,,,,,,,,,,,,-5.0%,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
535,,6,,,,,,,,,,,,,,4.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
536,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.5%,,,,,,,,,,,,,,,,,250g,,,,,,,,,
549,,5,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
550,SquiglyPig Milk,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,1.5s,,
551,General Cao's Chicken,5,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
580,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
581,,1,,,,,,,,,,,,,,-2.0%,,,,,,,,,,,1.0%,,,,,,,,,,,,,,,,,250g,,,,,,,,,
582,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
583,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
584,,1,,,,,,,,,,,,,,6.0%,,,,,,,,,,,-0.5%,,,,,,,,,,,,,,,,,250g,,,,,,,,,
585,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
586,,5,,,,,,,,,,,,,,,,,,,,,,,,-12,,,,2.0%,,,,,,,,,,,,,,250g,,,,,,,,,
587,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
588,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
589,,5,,,,,,,,,,,,,,,,,,,,-6.7%,,,-12,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
590,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
591,,5,,,,,,,,,,,,,,,,,,,,,,,,46,,,,-0.1%,,,,,,,,,,,,,,250g,,,,,,,,,
592,Phencyclidine,1,,,,,,,,,,,,,,,,,,,,,,,,,,-0.030s,,,,,,,,,,,,,,,,250g,,,,,,,2.0s,,
593,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.100s,,,,,,,,,,,,,,,,250g,,,,,,,-0.5s,,
594,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
595,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
596,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
597,,5,,,,,,,,,,,,,,,,,,,,1.7%,,,46,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
598,,5,,,,,,,,,,,,,,,,,,,,,-12,46,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
599,,5,,,,,,,,,,,,,,,,,,,,,46,-12,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
973,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
974,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
975,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
984,Golden Token,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
986,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
987,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
988,Medical Unit,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000g,,,,,,,,,
989,Mining Rig,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,
990,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500g,,,,,,,,,
992,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000g,,,,,,,,,
993,,3/4,,,,,,,,,,,,,,,100.0,,,,7000.0,,,,,,,,,,,,,,,,,,,5m,,,,5000g,,,,,,,,,
994,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000g,,,,,,,,,
995,Vortex Reactor,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000g,,,,,,,,,
996,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000g,,,,,,,,,
997,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000g,,,,,,,,,
998,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000g,,,,,,,,,
999,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000g,,,,,,,,,
1151,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1152,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1153,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1154,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1155,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1156,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1157,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1158,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1159,Canister (Cobalt),6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1160,Canister (Copper),6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1161,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1162,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1163,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1164,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1165,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1166,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1167,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1168,Canister (Organic Material),6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1169,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1170,Canister (Platinum),6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1171,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1172,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1173,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1174,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1175,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1176,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1177,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500g,,,,,,,,,
1194,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1195,Aluminium,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1196,Titanium Alloy,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1197,Metal Alloy,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1198,Special Steel Alloy,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1199,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1200,Carbon,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1201,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1202,Bioplasma,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1203,Plastics,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1204,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1205,CPU,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1206,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1207,Carbon Fiber,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1208,Professional Electronics,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1209,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1210,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1211,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1212,Titanium Syntactic Foam,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1213,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1214,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1215,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1216,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1217,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1218,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1219,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1220,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1221,Piercing Oculi,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1222,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1223,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1224,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1225,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1226,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1227,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1228,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1229,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1230,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1231,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1232,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1233,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
1234,Xenomorph Endocrine Glands,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1235,Plutonium,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1236,Aluminium Alloy,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1237,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
1238,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500g,,,,,,,,,
3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,,,,,,
3004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,
3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,
3006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2s,,,
3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,,,,,
3008,Ultrasonic Obstructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2m,,,,
