index,item_id,u16_00,u16_02,u16_06,u8_08,u8_09,u8_0A,u8_0B,u32_0C,u32_10,u32_14,u8_18,u8_19,u8_1A,u8_1B,u8_1C,u8_1D,u8_1E,u8_1F
27,28,61016,4122,0,0,0,0,0,0,269566484,0,0,0,0,0,0,0,0,0
28,30,100,0,0,0,100,0,0,75536,132266,0,0,0,0,0,0,0,0,0
29,31,0,0,256,64,6,0,0,1100,300,25601,16,39,0,0,173,4,3,0
30,32,25971,25701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,33,21,19,0,21,0,20,0,33,1376277,33,21,0,17,0,144,1,0,0
32,34,23871,4112,0,74,93,16,16,2,269507925,4294967295,97,93,16,16,255,255,255,255
33,35,257,0,0,2,0,0,0,34,2000,1702129225,114,102,97,99,101,47,101,108
34,36,56416,4117,0,0,0,0,0,1028443341,4294967295,4294967295,2,0,0,0,0,0,72,66
35,37,101,32,0,101,0,11,0,100,2097254,3,103,0,32,0,30,0,0,0
36,40,10,0,0,30,0,0,0,3761152,75536,132266,146,4,2,0,0,0,0,0
37,41,20864,1,0,5,0,0,0,1850280449,1718773108,795173729,101,108,101,109,101,110,116,115
38,44,29793,101,0,82,97,110,100,1850043759,1701734759,60,58,32,73,110,118,97,108,105
39,45,25961,8302,0,0,0,0,0,269762960,1,1,0,0,0,0,0,0,0,0
40,46,597,20,0,85,2,17,0,50,2556502,250,86,2,18,0,244,255,255,255
41,48,0,0,0,13,0,0,0,3,1060320051,1157234688,0,0,0,64,120,131,20,16
42,49,20864,1,0,5,0,0,0,1850280449,1718773108,795173729,101,108,101,109,101,110,116,115
43,50,1213,39,0,190,4,39,0,50,2557119,50,192,4,39,0,50,0,0,0
44,51,57360,4117,0,0,0,0,0,1056964608,6094948,6488158,2,0,0,0,0,0,0,0
45,52,29795,30559,0,73,110,116,101,1667327602,1950953317,796093797,119,52,46,112,99,120,0,0
46,53,24912,29540,0,83,107,105,110,1950953331,796093797,793003340,83,104,111,117,108,100,101,114
47,54,25964,30559,0,73,110,116,101,1667327602,1950953317,796093797,119,54,46,112,99,120,0,0
48,55,2,13,0,2,0,17,0,500,2555907,5000,3,0,36,0,214,1,0,0
49,56,0,0,256,10,0,0,0,40,30,812032,16,39,1,0,170,4,3,0
50,57,20864,1,0,6,0,0,0,1850279168,1718773108,795173729,101,108,101,109,101,110,116,115
51,58,10,29,0,10,0,13,0,66,1114122,500,11,0,39,0,100,25,0,0
52,60,600,0,0,0,100,0,0,65566,197811,328882,185,4,1,0,0,0,0,0
53,62,4,16,0,4,0,29,0,55,851972,91,4,0,17,0,232,3,0,0
54,64,1,12,0,1,0,16,0,74,1900545,64,1,0,17,0,188,2,0,0
55,65,41728,2,0,7,0,0,0,1850280449,1718773108,795173729,101,108,101,109,101,110,116,115
56,70,446,0,0,5,37,10,0,269844136,269844204,269844100,204,57,17,16,60,136,21,16
57,71,17732,21826,0,87,65,82,78,4673097,1330795077,82,83,69,67,85,82,73,84,89
58,72,1033,0,0,88,240,29,0,609,1252,0,60,97,115,115,101,109,98,108
59,73,18761,0,0,37,48,50,117,842016046,1965370997,0,37,48,50,117,46,37,48,50
60,74,37,16,0,37,0,29,0,64,1114149,700,2,0,39,0,232,3,0,0
61,76,49152,11,0,67,48,121,48,832254221,859583217,865874781,69,52,102,52,125,53,252,53
62,80,0,0,256,100,0,0,0,100,30,6579200,3,0,1,0,188,4,5,0
63,81,0,0,0,9,0,0,0,1850278144,1718773108,795173729,101,108,101,109,101,110,116,115
64,84,16384,7,0,41,48,50,48,809709627,810889292,812003421,230,48,245,48,6,49,15,49
65,85,0,0,256,200,0,0,0,200,180,6579201,1,0,1,0,0,0,0,0
66,86,104,20,0,104,0,21,0,86,2097257,5,107,0,32,0,4,0,0,0
67,88,0,0,256,50,0,0,0,50,60,6579200,1,0,1,0,177,4,1,0
68,89,41728,2,0,7,0,0,0,1850280448,1718773108,795173729,101,108,101,109,101,110,116,115
69,90,300,0,0,0,100,0,0,75536,66732,0,178,4,2,0,170,4,1,0
70,91,93,0,0,82,97,110,100,1850043759,1701734759,1850286138,118,97,108,105,100,32,115,116
71,94,97,93,96,2,0,0,0,0,0,1115422720,0,0,200,65,0,0,4,67
72,96,22528,4122,0,0,0,0,0,0,269678332,270161528,8,0,0,0,32,69,4,16
73,97,11829,26484,0,83,107,105,110,1749233523,1667330657,1936876916,47,71,79,77,47,102,95,65
74,98,11832,29804,0,73,110,116,101,1667327602,1950953317,796093797,104,97,116,56,95,49,46,116
75,100,36,13,0,50,0,39,0,250,2555955,300,52,0,39,0,44,1,0,0
76,101,16928,29537,0,77,111,111,110,1702060386,0,1702129257,114,102,97,99,101,47,119,111
77,102,26994,29806,1242,102,111,112,101,88735854,1633907571,26222,158,3,95,115,116,114,108,119
78,105,41728,2,0,7,0,0,0,1850280448,1718773108,795173729,101,108,101,109,101,110,116,115
79,106,0,6,0,1,0,0,0,589824,71,1,0,0,8,0,72,0,0,0
80,108,108,0,0,1,0,0,0,117440512,18,1,0,0,6,0,22,0,0,0
81,109,8308,29249,0,76,101,102,116,1851869216,100,1952867660,32,65,114,109,0,0,0,0
82,110,24904,25974,0,78,101,119,104,1852143201,0,1702129257,114,102,97,99,101,47,119,111
83,111,23072,29285,0,78,89,95,71,1853190002,1919244900,111,105,110,116,101,114,102,97,99
84,112,28672,15,0,118,48,138,48,818426038,820261087,823537924,54,49,72,49,225,49,246,49
85,113,0,0,0,5,0,0,0,1850278144,1718773108,795173729,101,108,101,109,101,110,116,115
86,115,34,12,0,34,0,17,0,800,2555939,5000,35,0,36,0,214,1,0,0
87,116,26988,28261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,120,100,0,0,1,100,100,0,65537,66737,66734,181,4,1,0,0,0,0,0
89,124,11,12,0,11,0,17,0,900,2555916,8500,12,0,36,0,32,3,0,0
90,125,18,16,0,18,0,14,0,57,1114130,500,19,0,39,0,160,15,0,0
91,128,14796,4113,0,0,0,0,0,0,269702748,3,0,0,0,0,0,0,0,0
92,130,414,0,0,5,5,10,0,269846348,269846632,269846316,204,57,17,16,60,136,21,16
93,132,40960,3,0,2,48,38,48,810233920,813510769,826552551,145,49,160,49,105,50,89,51
94,136,2,0,4121,148,0,25,16,270069296,0,270220352,1,0,0,0,0,0,0,0
95,140,450,0,0,5,5,10,0,269843860,269844204,269843828,204,57,17,16,60,136,21,16
96,150,57,39,0,58,0,39,0,250,2555963,250,100,0,32,0,3,0,0,0
97,152,39352,4122,0,0,0,0,0,0,269566484,0,0,0,0,0,0,0,0,0
98,156,49152,5,0,54,48,76,48,814166121,817442980,823341257,25,49,50,49,69,49,97,49
99,160,990,256,0,50,0,0,0,150,353280,130536,179,4,2,0,173,4,2,0
100,161,0,0,0,0,0,0,0,0,270197268,0,20,66,17,16,0,0,0,0
101,163,0,0,0,106,0,0,0,3,1056964608,1148846080,0,0,0,0,252,129,20,16
102,164,36864,5,0,134,48,152,48,875967526,889599205,896939288,139,53,146,53,163,53,196,53
103,170,260,0,0,60,0,0,0,25600,75536,263379,174,4,6,0,150,4,2,0
104,172,32768,18,0,0,48,84,48,819212416,827601152,835989888,0,50,84,50,128,50,212,50
105,180,800,0,0,1,100,0,0,75536,525484,656558,175,4,4,0,153,4,2,0
106,188,94,0,0,99,0,0,0,198,151,53,106,0,0,0,212,0,0,0
107,192,16,16,0,16,0,29,0,156,786448,297,16,0,17,0,20,5,0,0
108,200,20,15,0,20,0,17,0,1000,2555925,4000,21,0,36,0,208,7,0,0
109,204,28261,116,26948,115,97,98,108,1919439973,1281646949,1634886249,114,121,67,97,108,108,115,0
110,224,0,0,0,0,0,0,0,0,269714024,5,0,0,0,0,0,0,0,0
111,230,6,15,0,7,0,39,0,500,2359303,5000,7,0,35,0,0,4,0,0
112,232,0,5,0,44,48,83,48,816591001,827076918,833958318,227,49,233,49,108,50,136,50
113,234,28,16,0,28,0,29,0,168,851996,408,28,0,17,0,20,5,0,0
114,240,575,0,0,90,0,0,0,25600,75536,263338,178,4,1,0,0,0,0,0
115,250,87,39,0,87,0,25,0,150,3145815,10,88,0,39,0,250,0,0,0
116,256,0,0,257,1,1,1,1,16843009,0,0,0,0,0,0,0,0,0,0
117,257,257,257,0,0,1,1,1,16843009,16843009,16843009,1,1,1,0,0,0,0,0
118,258,12384,20528,769,206,103,103,169,2099981142,436141799,1658312629,77,171,171,230,236,118,118,154
119,260,7,256,0,170,0,0,0,60,25600,75536,211,4,4,0,174,4,6,0
120,272,64,0,4121,0,0,0,0,0,0,270220688,92,1,25,16,0,0,0,0
121,290,0,0,0,11,0,0,0,3,1050253722,1148846080,0,0,0,0,108,128,20,16
122,296,12288,6,0,82,48,106,48,846868610,856044227,860173089,75,51,93,51,129,51,134,51
123,300,13,29,0,13,0,12,0,340,2555918,500,14,0,36,0,136,19,0,0
124,305,291,0,0,50,1,0,0,1067450368,0,1053609165,255,255,255,255,0,0,0,0
125,309,295,0,0,54,1,0,0,1065353216,0,1053609165,255,255,255,255,0,0,0,0
126,311,295,0,0,56,1,0,0,1065353216,0,1053609165,255,255,255,255,0,0,0,0
127,312,33,29,0,33,0,12,0,384,1114145,1300,34,0,39,0,160,15,0,0
128,315,297,0,0,60,1,0,0,1069547520,0,1050253722,255,255,255,255,0,0,0,0
129,317,293,0,0,62,1,0,0,0,0,1036831949,255,255,255,255,0,0,0,0
130,319,299,0,0,64,1,0,0,1056964608,0,1028443341,255,255,255,255,0,0,0,0
131,320,0,0,0,0,0,0,0,0,269673276,5,0,0,0,0,0,0,0,0
132,323,301,0,0,68,1,0,0,1056964608,0,1036831949,255,255,255,255,0,0,0,0
133,327,291,0,0,72,1,0,0,1067450368,0,1051931443,255,255,255,255,0,0,0,0
134,335,2,36,0,2,0,35,0,850,1048578,39,2,0,29,0,33,0,0,0
135,340,24576,18,0,0,48,8,48,810823696,814231680,815280272,212,48,0,49,8,49,16,49
136,349,40196,59998,13708,115,250,135,116,1091304238,493335386,3537605202,51,233,16,86,19,109,214,71
137,350,26,4,0,4,0,1,0,269867936,269677912,269677304,204,57,17,16,204,57,17,16
138,352,61440,12,0,7,48,15,48,808267798,809840695,811151440,109,48,116,48,142,48,159,48
139,360,5,12,0,6,0,39,0,500,2359302,2000,6,0,35,0,100,0,0,0
140,384,7,15,0,8,0,39,0,500,2359304,5000,8,0,35,0,0,4,0,0
141,390,701,0,0,12,0,15,0,269826156,269826232,269826116,204,57,17,16,120,93,17,16
142,400,15,35,0,15,0,16,0,24,1900559,41,15,0,12,0,38,0,0,0
143,402,1442,26,26,84,1,26,0,1705442,1705530,1705620,244,1,26,0,168,236,25,0
144,404,0,0,0,95,95,115,101,1751347809,1918987615,1601332587,104,111,108,100,101,114,95,95
145,424,15904,4123,4121,0,0,0,0,0,2,270074296,196,1,25,16,48,238,24,16
146,432,8,14,0,9,0,39,0,2000,2359305,200,9,0,35,0,113,2,0,0
147,450,4000,0,256,0,0,0,0,269869132,269869120,50,0,0,0,0,51,51,51,63
148,500,5,39,0,5,0,36,0,2000,2293765,100,5,0,29,0,250,0,0,0
149,512,770,769,770,1,0,0,0,327684,917520,0,3,2,1,0,0,2,2,5
150,513,0,0,0,8,0,0,0,0,1,2000,73,110,116,101,114,102,97,99
151,515,24656,12336,257,169,206,103,103,724260477,4278118169,3621238114,230,77,171,171,154,236,118,118
152,518,256,2053,0,0,0,0,0,38404096,67109464,34013703,0,0,0,0,0,0,0,0
153,528,516,4121,4121,48,238,24,16,0,270220976,1,0,0,0,0,255,255,255,255
154,532,4096,15,0,1,48,11,48,807350293,808661033,809971773,81,48,91,48,101,48,111,48
155,540,512,4117,4117,204,57,17,16,269564364,269573404,0,0,0,0,0,0,0,0,0
156,550,19,36,0,19,0,35,0,3750,1048595,251,19,0,14,0,120,0,0,0
157,551,0,0,600,0,1,6,9,772,0,39190528,88,2,0,0,9,5,6,3
158,562,0,281,50714,75,199,27,104,65007155,249562212,4018244916,76,113,8,200,248,105,28,193
159,584,53248,18,0,4,48,12,48,807153684,808202276,809250868,68,48,76,48,84,48,92,48
160,587,3906,31977,29410,80,21,255,96,1861490777,1153776486,1255028335,116,33,211,88,125,44,216,86
161,600,17,17,0,18,0,39,0,2000,2359314,300,18,0,35,0,232,3,0,0
162,650,112,0,0,5,37,5,0,269866420,269866384,269866348,204,57,17,16,100,213,21,16
163,652,64,0,4121,0,0,0,0,0,0,270221408,220,2,25,16,0,0,0,0
164,684,1155,1,0,16,0,0,0,269793496,269564364,269564364,204,57,17,16,204,57,17,16
165,698,3249,26378,27139,167,16,24,125,1880170156,1395537053,1579629206,139,40,60,73,128,38,53,68
166,700,11,36,0,11,0,35,0,2200,1048587,56,11,0,29,0,70,0,0,0
167,716,24576,0,0,20,48,25,48,808857649,810758222,812658795,136,48,141,48,165,48,170,48
168,750,21,35,0,21,0,0,0,61,196629,72,21,0,18,0,33,0,0,0
169,769,20528,12384,258,103,169,206,103,727088427,4276558334,3618988759,171,230,77,171,118,154,236,118
170,770,52429,15820,1540,0,0,0,0,1056964608,0,0,0,0,0,0,0,0,0,0
171,775,2,1,0,3,16,1,0,269869096,269678032,269677768,204,57,17,16,204,57,17,16
172,792,17104,4111,4121,16,239,15,16,269435632,1866670138,1918988397,105,115,111,110,32,102,97,105
173,796,25455,107,28511,110,101,120,105,23068788,1667589215,1600480367,112,111,105,110,116,101,114,0
174,800,24,17,0,25,0,39,0,5000,2359321,1600,25,0,35,0,166,14,0,0
175,812,64,0,4121,0,0,0,0,0,0,270221700,124,3,25,16,0,0,0,0
176,828,944,4117,4117,204,57,17,16,269822040,269836800,0,0,0,0,0,0,0,0,0
177,832,802,26,26,94,3,26,0,1704838,1704920,1705062,166,4,26,0,248,4,26,0
178,850,146,0,0,5,4,5,0,269863884,269866044,269863852,204,57,17,16,20,212,21,16
179,881,1165,3,0,16,0,0,0,269793108,269564364,269564364,204,57,17,16,204,57,17,16
180,891,1167,2,0,16,0,0,0,269793028,269564364,269564364,204,57,17,16,204,57,17,16
181,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,904,0,0,4123,76,253,24,16,0,0,1,92,253,24,16,100,253,24,16
183,928,516,1,2,208,2,0,0,1000,269789572,269789548,5,3,1,0,84,236,0,0
184,962,1832,60338,46383,123,154,134,197,936617224,674296455,3206787749,106,186,2,3,130,92,237,22
185,988,1,0,0,58,0,0,0,1,986,20,1,0,0,0,225,3,0,0
186,989,0,0,256,60,0,0,0,20,120,353280,232,253,1,0,179,4,1,0
187,995,0,0,256,172,13,0,0,1500,90,131097600,16,39,1,0,172,4,6,0
188,1000,1000,0,0,0,202,154,59,4294967295,4294967295,1000,232,3,0,0,232,3,0,0
189,1016,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0
190,1024,14,35,0,14,0,16,0,3500,2555919,4000,15,0,36,0,200,0,0,0
191,1026,0,1281,771,0,0,1,7,67372291,269755436,269755452,248,151,19,16,255,255,255,255
192,1100,2500,0,0,90,0,0,0,6579200,79536,197804,212,4,2,0,211,4,4,0
193,1135,2660,55567,54278,114,22,29,195,3457423481,3979031112,3760340035,94,46,57,247,85,32,48,250
194,1159,1200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,1160,1203,1,1,1,1,2,6,0,1036831949,100926210,0,0,0,0,0,0,0,63
196,1168,1198,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,1170,1194,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,1174,2463,60116,58591,141,19,194,246,4173930116,3539484091,3706925234,169,39,238,206,160,42,229,192
199,1194,10000,1,20,184,4,2,0,132279,66773,0,0,0,0,0,0,0,0,0
200,1195,10000,1,8,214,4,2,0,132306,66739,66696,0,0,0,0,0,0,0,0
201,1196,10000,1,1,134,4,2,0,132245,263307,0,0,0,0,0,0,0,0,0
202,1197,10000,0,3,178,4,2,0,66739,0,0,0,0,0,0,0,0,0,0
203,1198,1196,8,10,175,4,4,0,132249,0,0,0,0,0,0,0,0,0,0
204,1200,0,0,256,10,0,0,0,5,30,6579200,16,39,1,0,130,4,6,0
205,1202,1194,20,20,185,4,2,0,0,0,0,0,0,0,0,0,0,0,0
206,1203,1197,6,1,0,0,0,0,263346,0,0,0,0,0,0,0,0,0,0
207,1205,1198,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,1207,30,1,1,184,4,1,0,0,0,0,0,0,0,0,0,0,0,0
209,1208,0,0,256,144,1,0,0,100,30,6579200,16,39,1,0,137,4,2,0
210,1212,10,1,5,174,4,5,0,0,0,0,5,9,10,6,0,0,0,0
211,1221,1196,2,1,0,0,0,0,0,0,100794625,0,0,0,0,205,204,204,61
212,1234,10000,1,1,214,4,1,0,0,0,0,0,0,0,0,0,0,0,0
213,1235,10000,1,7,142,4,4,0,132274,0,0,0,0,0,0,0,0,0,0
214,1236,1196,3,2,211,4,4,0,328882,0,0,0,0,0,0,0,0,0,0
215,1250,15,256,0,194,1,0,0,90,25600,75536,172,4,5,0,211,4,1,0
216,1280,1198,10000,1285,5,1,0,0,0,34930688,134218328,2,4,6,1,0,0,0,0
217,1314,13280,4112,6547,1,0,0,0,270078428,0,0,0,0,0,0,0,0,0,0
218,1320,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0
219,1330,2019,0,0,240,11,0,0,4037,848,47,26,10,0,0,103,11,0,0
220,1346,1157,1,0,16,0,0,0,269793420,269564364,269564364,204,57,17,16,204,57,17,16
221,1350,314,0,0,5,5,8,0,269853920,269853876,269853840,204,57,17,16,128,164,21,16
222,1450,34,4,0,3,9,1,0,269867524,269678056,269867500,204,57,17,16,204,57,17,16
223,1472,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0
224,1500,1194,39,0,211,4,39,0,1500,2557099,1500,172,4,39,0,220,5,0,0
225,1506,1151,2,0,16,0,0,0,269793668,269564364,269564364,204,57,17,16,204,57,17,16
226,1536,591,600,1794,5,2,0,0,0,34734080,150995544,0,9,2,3,0,0,0,0
227,1540,3850,25817,28628,22,29,195,114,2043548696,1223502642,1138762300,46,57,247,94,32,48,250,85
228,1560,25,0,0,0,0,0,0,0,26,397336,0,0,0,0,0,0,0,0
229,1600,31,36,0,31,0,35,0,3750,1114143,800,32,0,39,0,136,19,0,0
230,1609,13024,2618,23588,194,211,172,98,2045023633,1832372455,2840515981,108,86,244,234,101,122,174,8
231,1624,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0
232,1707,4771,0,0,23,2,0,0,1106,152,1243,100,0,0,0,0,0,0,0
233,1750,316,0,0,5,5,8,0,269853648,269853604,269853568,204,57,17,16,112,163,21,16
234,1757,35361,16121,38461,62,5,174,221,1296481766,2444594516,1896177092,6,212,111,4,80,21,255,96
235,1776,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0
236,1786,1776,26,26,16,7,26,0,1705754,1705762,1705774,62,7,26,0,72,7,26,0
237,1800,0,0,0,0,0,16,0,1,1068708659,1058642330,232,3,0,0,154,153,153,63
238,1847,1153,3,0,16,0,0,0,269793584,269564364,269564364,204,57,17,16,204,57,17,16
239,1890,1874,26,26,110,7,26,0,1705850,1705858,1705870,152,7,26,0,162,7,26,0
240,1909,6641,22405,44876,153,221,187,238,2751291519,4154402305,1555887474,102,59,197,68,251,126,52,91
241,1928,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0
242,1974,1964,26,26,192,7,26,0,1705952,1705984,1706012,56,8,26,0,78,8,26,0
243,2000,12,35,0,12,0,16,0,67,1900556,111,12,0,13,0,159,0,0,0
244,2016,23104,0,26175,105,110,100,64,1633821759,1600350579,1769108595,110,103,64,68,85,63,36,99
245,2080,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0
246,2103,1342,56750,54181,44,31,184,193,3484619301,3850514714,3951639571,8,43,148,249,1,38,159,247
247,2172,2160,26,26,134,8,26,0,1706128,1706138,1706146,170,8,26,0,180,8,26,0
248,2200,3,35,0,3,0,16,0,54,1900547,46,3,0,12,0,80,0,0,0
249,2232,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0
250,2248,2236,26,26,210,8,26,0,1706204,1706214,1706222,248,8,26,0,2,9,26,0
251,2270,14705,424,45836,156,216,180,228,3243664528,2227927905,3056784752,116,72,108,92,66,208,184,87
252,2305,0,0,0,12,0,0,0,0,2561,13,0,0,0,0,1,11,0,0
253,2309,0,0,1546,0,0,0,0,1036831949,0,0,0,0,0,0,0,0,0,0
254,2318,0,0,2829,28,18,26,22,488053522,741614648,658058550,36,54,46,58,42,63,35,49
255,2322,2314,26,26,26,9,26,0,1706274,1706284,1706292,70,9,26,0,88,9,26,0
256,2376,60568,4115,4116,240,187,24,16,0,1447116590,2004116814,111,114,107,73,68,77,97,110
257,2420,4132,4117,4117,204,57,17,16,269824780,269836800,0,0,0,0,0,0,0,0,0
258,2494,2484,26,26,200,9,26,0,1706450,1706460,1706470,242,9,26,0,252,9,26,0
259,2500,975,39,0,127,4,39,0,2500,2557056,2500,129,4,39,0,196,9,0,0
260,2560,2,0,28233,116,101,114,102,795173729,1835363429,1937010277,47,115,107,105,108,108,115,47
261,2561,5,0,28233,116,101,114,102,795173729,1835363429,1937010277,47,115,107,105,108,108,115,47
262,2572,4132,4117,4117,204,57,17,16,269824780,269836800,0,0,0,0,0,0,0,0,0
263,2576,2566,26,26,30,10,26,0,1706536,1706554,1706560,72,10,26,0,86,10,26,0
264,2590,1159,1,0,16,0,0,0,269793340,269564364,269564364,204,57,17,16,204,57,17,16
265,2600,1169,4,0,16,0,0,0,269792948,269564364,269564364,204,57,17,16,204,57,17,16
266,2621,23836,4113,16087,0,0,192,64,0,100,8,1,1,1,1,1,1,1,1
267,2666,2656,26,26,118,10,26,0,1706626,1706640,1706654,168,10,26,0,180,10,26,0
268,2724,4132,4117,4117,204,57,17,16,269824780,269836800,0,0,0,0,0,0,0,0,0
269,2746,439,39660,37858,173,23,240,136,2180914336,3201576323,3084527246,153,59,200,172,148,48,198,165
270,2766,2752,26,26,218,10,26,0,1706728,1706768,0,60,236,25,0,0,0,0,0
271,2802,2402,26,26,120,9,26,0,1706370,1706380,1706390,160,9,26,0,170,9,26,0
272,2829,0,0,2318,26,22,28,18,454171927,607661108,758523705,46,58,36,54,35,49,42,63
273,2876,4132,4117,4117,204,57,17,16,269824780,269836800,0,0,0,0,0,0,0,0,0
274,2916,2926,26,26,92,11,26,0,1706826,1706812,1706802,28,11,26,0,224,6,26,0
275,2976,23104,0,29503,119,97,112,64,1633821759,1600350579,1769108595,110,103,64,95,87,85,63,36
276,3000,10000,0,0,232,3,0,0,1000,1000,1000,232,3,0,0,88,2,0,0
277,3008,0,0,256,140,10,0,0,500,150,25600,30,0,1,0,213,4,1,0
65537,2307,1450,0,1,228,223,23,106,1779949516,1779949492,1779600280,152,139,18,106,96,164,18,106
16843009,4000,257,257,0,194,1,0,1,0,1779949480,1779949468,50,0,0,0,0,0,0,0
1060320051,94,97,93,96,2,0,0,0,0,0,1115422720,0,0,200,65,0,0,4,67
65538,4099,775,0,1,132,223,23,106,1779949420,1779949396,1779600280,152,139,18,106,96,164,18,106
16843009,2500,257,257,0,150,0,8,2,0,1779949384,1779949372,51,0,0,0,0,0,0,0
131075,2819,3550,0,1,36,223,23,106,1779949324,1779949300,1779600280,152,139,18,106,96,164,18,106
16843009,5000,257,257,0,200,0,0,1,0,1779949288,1779949276,52,0,0,0,0,0,0,0
131076,4355,3850,0,1,196,222,23,106,1779949228,1779949204,1779600280,152,139,18,106,96,164,18,106
0,4500,0,256,0,188,2,9,4,0,1779949192,1779949180,51,0,0,0,0,0,0,0
65541,2563,300,0,1,100,222,23,106,1779949132,1779949108,1779600280,152,139,18,106,96,164,18,106
16843009,3000,257,257,0,208,7,0,0,1,1779949096,1779949084,5,0,0,0,0,0,0,0
131078,4867,600,0,1,4,222,23,106,1779949036,1779949012,1779600280,152,139,18,106,96,164,18,106
131079,3588,350,0,1,176,221,23,106,1779948952,1779948928,1779600280,152,139,18,106,96,164,18,106
65545,3075,2800,0,1,8,221,23,106,1779948784,1779948760,1779600280,152,139,18,106,96,164,18,106
16843009,5500,257,257,0,88,2,0,1,0,1779949288,1779948604,52,0,0,0,0,0,0,0
0,6000,1,256,0,32,3,9,5,0,1779948544,1779948532,53,0,0,0,0,0,0,0
16777216,6500,0,1,0,136,19,0,0,1,1779948472,1779600280,13,0,0,0,0,0,0,68
131088,3331,5600,0,1,52,219,23,106,1779948316,1779948292,1779600280,152,139,18,106,96,164,18,106
16843009,8000,257,257,0,220,5,0,1,0,1779949288,1779948280,56,0,0,0,0,0,0,0
16843009,3500,257,257,0,244,1,0,1,0,1779949480,1779948220,57,0,0,0,0,0,0,0
16843009,2700,257,257,0,194,1,8,2,0,1779949384,1779948160,51,0,0,0,0,0,0,0
262165,4611,1000,0,1,240,217,23,106,1779949228,1779947992,1779600280,152,139,18,106,96,164,18,106
22,3861,3600,0,0,156,217,23,106,1779600280,1779600280,1779600280,152,139,18,106,152,139,18,106
