item_id,item_name,category_guess,section,file_offset,u16_00,u16_02,u16_06,u8_08,u8_09,u8_0A,u8_0B,u32_0C,u32_10,u32_14,u8_18,u8_19,u8_1A,u8_1B,u8_1C,u8_1D,u8_1E,u8_1F,armor_divisor
26,RX Zephyr Advanced Mining Tool,Unknown,.rdata,0x142480,29,3,0,29,0,18,0,25,1245213,25,29,0,20,0,25,0,0,0,5
30,CryoTech Medigun CM1,Weapon,.rdata,0x142fa0,100,0,0,0,100,0,0,75536,132266,0,0,0,0,0,0,0,0,0,5
31,Frostbite,Unknown,.rdata,0x145f60,0,0,256,64,6,0,0,1100,300,25601,16,39,0,0,173,4,3,0,5
33,Linner PP-X,Unknown,.rdata,0x1423a0,21,19,0,21,0,20,0,33,1376277,33,21,0,17,0,144,1,0,0,5
34,Hawk-72,Unknown,.rdata,0x192d80,23871,4112,0,74,93,16,16,2,269507925,4294967295,97,93,16,16,255,255,255,255,5
36,Backer Rifle,Weapon,.rdata,0x15e080,56416,4117,0,0,0,0,0,1028443341,4294967295,4294967295,2,0,0,0,0,0,72,66,5
37,Territory Turret,Weapon,.rdata,0x142640,101,32,0,101,0,11,0,100,2097254,3,103,0,32,0,30,0,0,0,10
40,,Unknown,.rdata,0x143ac0,10,0,0,30,0,0,0,3761152,75536,132266,146,4,2,0,0,0,0,0,5
45,,Unknown,.rdata,0x142da0,25961,8302,0,0,0,0,0,269762960,1,1,0,0,0,0,0,0,0,0,5
46,,Unknown,.rdata,0x1428c0,597,20,0,85,2,17,0,50,2556502,250,86,2,18,0,244,255,255,255,5
50,,Unknown,.rdata,0x142b00,1213,39,0,190,4,39,0,50,2557119,50,192,4,39,0,50,0,0,0,5
51,9mm Standard Rounds,Ammunition,.rdata,0x15cd60,57360,4117,0,0,0,0,0,1056964608,6094948,6488158,2,0,0,0,0,0,0,0,5
52,Energy Cell,Ammunition,.rdata,0x15cbc0,29795,30559,0,73,110,116,101,1667327602,1950953317,796093797,119,52,46,112,99,120,0,0,5
53,7.62mm Standard Rounds,Ammunition,.rdata,0x15d300,56928,4117,0,0,0,0,0,1065353216,6094974,8192094,5,0,0,0,0,0,0,0,5
54,High Capacity Energy Cell,Ammunition,.rdata,0x15cb60,25964,30559,0,73,110,116,101,1667327602,1950953317,796093797,119,54,46,112,99,120,0,0,5
55,Plutonium Cell,Ammunition,.rdata,0x142020,2,13,0,2,0,17,0,500,2555907,5000,3,0,36,0,214,1,0,0,5
56,5.54mm Standard Rounds,Ammunition,.rdata,0x143ce0,0,0,256,10,0,0,0,40,30,812032,16,39,1,0,170,4,3,0,5
58,9mm Rubber Rounds,Ammunition,.rdata,0x142180,10,29,0,10,0,13,0,66,1114122,500,11,0,39,0,100,25,0,0,5
60,7.62mm Electromagnetic Rounds,Ammunition,.rdata,0x144c60,600,0,0,0,100,0,0,65566,197811,328882,185,4,1,0,0,0,0,0,5
62,,Unknown,.rdata,0x142080,4,16,0,4,0,29,0,55,851972,91,4,0,17,0,232,3,0,0,5
64,,Unknown,.rdata,0x141fa0,1,12,0,1,0,16,0,74,1900545,64,1,0,17,0,188,2,0,0,5
65,,Unknown,.rdata,0x19d880,31077,30789,615,82,101,103,81,2037540213,1970037078,1098401125,0,0,65,68,86,65,80,73,5
70,,Unknown,.rdata,0x1687c0,446,0,0,5,37,10,0,269844136,269844204,269844100,204,57,17,16,60,136,21,16,10
71,,Unknown,.rdata,0x1829c0,17732,21826,0,87,65,82,78,4673097,1330795077,82,83,69,67,85,82,73,84,89,5
73,,Unknown,.rdata,0x141ce0,18761,0,0,37,48,50,117,842016046,1965370997,0,37,48,50,117,46,37,48,50,5
74,,Unknown,.rdata,0x141fe0,37,16,0,37,0,29,0,64,1114149,700,2,0,39,0,232,3,0,0,5
80,,Unknown,.rdata,0x112040,32,4113,4113,128,0,17,16,269549712,269549744,269549776,240,0,17,16,16,1,17,16,5
85,Emergency MediKit,Medication,.rdata,0x146240,0,0,256,200,0,0,0,200,180,6579201,1,0,1,0,0,0,0,0,5
86,Nanomachine Autoinjector,Medication,.rdata,0x142680,104,20,0,104,0,21,0,86,2097257,5,107,0,32,0,4,0,0,0,5
88,Adrenaline Autoinjector,Medication,.rdata,0x1442a0,0,0,256,50,0,0,0,50,60,6579200,1,0,1,0,177,4,1,0,5
89,Electrolyte Autoinjector,Medication,.rdata,0x1871a0,0,4096,0,1,0,0,0,318767104,90,1,0,0,0,17,91,0,0,0,5
90,,Unknown,.rdata,0x143560,300,0,0,0,100,0,0,75536,66732,0,178,4,2,0,170,4,1,0,5
92,,Unknown,.rdata,0x141bc0,47,0,0,104,114,61,48,544744824,1869771365,1868767346,100,101,61,37,117,32,40,37,5
94,,Unknown,.rdata,0x15cce0,97,93,96,2,0,0,0,0,0,1115422720,0,0,200,65,0,0,4,67,5
97,,Unknown,.rdata,0x182d20,11876,26484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
98,,Unknown,.rdata,0x187200,0,1024,0,1,0,0,0,83886080,97,1,0,0,0,6,99,0,0,0,5
100,,Unknown,.rdata,0x1425e0,36,13,0,50,0,39,0,250,2555955,300,52,0,39,0,44,1,0,0,5
101,Night Vision Augmentation,Unknown,.rdata,0x136c60,21614,28009,0,90,65,120,105,1768969075,1416648046,6647145,89,65,120,105,115,83,112,105,5
106,Infiltration Scanner Augmentation,Unknown,.rdata,0x187260,0,6,0,1,0,0,0,589824,71,1,0,0,8,0,72,0,0,0,5
108,Mineral Scanner,Weapon,.rdata,0x187100,108,0,0,1,0,0,0,117440512,18,1,0,0,6,0,22,0,0,0,5
110,,Unknown,.rdata,0x187140,990,0,0,1,0,0,0,989,111,1,0,0,0,9,83,0,0,0,5
115,Locans Ethereal Helmet,Armor,.rdata,0x142580,34,12,0,34,0,17,0,800,2555939,5000,35,0,36,0,214,1,0,0,5
120,Pythica S1 Helmet,Armor,.rdata,0x12a760,11833,29796,0,83,107,105,110,1917869171,1551069295,1702257729,114,116,105,115,101,109,101,110,5
124,NanoTech Voltaic Helmet,Armor,.rdata,0x1421c0,11,12,0,11,0,17,0,900,2555916,8500,12,0,36,0,32,3,0,0,5
125,NanoTech Cognizant Helmet,Armor,.rdata,0x142300,18,16,0,18,0,14,0,57,1114130,500,19,0,39,0,160,15,0,0,5
130,Delta Powered Helmet,Armor,.rdata,0x1675c0,414,0,0,5,5,10,0,269846348,269846632,269846316,204,57,17,16,60,136,21,16,10
140,Dilatant 50b Helmet,Armor,.rdata,0x168a00,450,0,0,5,5,10,0,269843860,269844204,269843828,204,57,17,16,60,136,21,16,10
150,Firstborn Powered Helmet,Armor,.rdata,0x142620,57,39,0,58,0,39,0,250,2555963,250,100,0,32,0,3,0,0,0,5
160,NanoTech Vitality Helmet,Armor,.rdata,0x145160,990,256,0,50,0,0,0,150,353280,130536,179,4,2,0,173,4,2,0,5
170,Zivce6 Glasses (Grey),Unknown,.rdata,0x143220,260,0,0,60,0,0,0,25600,75536,263379,174,4,6,0,150,4,2,0,5
180,ALM Designs Glasses (Grey),Unknown,.rdata,0x145ac0,800,0,0,1,100,0,0,75536,525484,656558,175,4,4,0,153,4,2,0,5
192,ALM Designs Glasses (Green),Unknown,.rdata,0x1422a0,16,16,0,16,0,29,0,156,786448,297,16,0,17,0,20,5,0,0,5
200,,Unknown,.rdata,0x142360,20,15,0,20,0,17,0,1000,2555925,4000,21,0,36,0,208,7,0,0,5
230,Delta Powered Shoulder Pads,Armor,.rdata,0x1420e0,6,15,0,7,0,39,0,500,2359303,5000,7,0,35,0,0,4,0,0,5
234,PreMet Buffer Shoulder Pads,Armor,.rdata,0x142440,28,16,0,28,0,29,0,168,851996,408,28,0,17,0,20,5,0,0,5
240,Dilatant 50b Shoulder Pads,Armor,.rdata,0x1437e0,575,0,0,90,0,0,0,25600,75536,263338,178,4,1,0,0,0,0,0,5
250,NanoTech Vitality Shoulder Pads,Armor,.rdata,0x142740,87,39,0,87,0,25,0,150,3145815,10,88,0,39,0,250,0,0,0,5
256,Jack-o'-lantern Shoulder Pads,Armor,.rdata,0x12ada0,0,16512,257,1,1,1,1,16843009,16843009,16843009,1,1,1,1,1,1,1,1,5
257,Skeleton Shoulder Pads,Armor,.rdata,0x12a820,257,257,257,1,1,1,1,65793,1,269663152,0,1,1,1,1,1,1,1,5
260,,Unknown,.rdata,0x1431c0,7,256,0,170,0,0,0,60,25600,75536,211,4,4,0,174,4,6,0,5
300,NanoTech Vitality Arm Pads,Armor,.rdata,0x142220,13,29,0,13,0,12,0,340,2555918,500,14,0,36,0,136,19,0,0,5
312,MT-27 Ballistics Torso Armor,Armor,.rdata,0x142540,33,29,0,33,0,12,0,384,1114145,1300,34,0,39,0,160,15,0,0,5
335,PreMet Contact Torso Armor,Armor,.rdata,0x142000,2,36,0,2,0,35,0,850,1048578,39,2,0,29,0,33,0,0,0,5
336,PreMet Collision Torso Armor,Armor,.rdata,0x112060,304,4113,4113,112,1,17,16,269549968,269550000,269550032,240,1,17,16,16,2,17,16,5
350,NanoTech Vitality Torso Armor,Armor,.rdata,0x15da80,26,4,0,4,0,1,0,269867936,269677912,269677304,204,57,17,16,204,57,17,16,5
360,,Unknown,.rdata,0x1420c0,5,12,0,6,0,39,0,500,2359302,2000,6,0,35,0,100,0,0,0,5
384,PreMet Buffer Leg Pads,Armor,.rdata,0x142100,7,15,0,8,0,39,0,500,2359304,5000,8,0,35,0,0,4,0,0,5
390,Dilatant 50b Assault Leg Pads,Armor,.rdata,0x1718e0,701,0,0,12,0,15,0,269826156,269826232,269826116,204,57,17,16,120,93,17,16,5
400,NanoTech Vitality Leg Pads,Armor,.rdata,0x142260,15,35,0,15,0,16,0,24,1900559,41,15,0,12,0,38,0,0,0,5
402,Justicar Powered Leg Pads,Armor,.rdata,0x19d2c0,1442,26,26,84,1,26,0,1705442,1705530,1705620,244,1,26,0,168,236,25,0,5
432,Firstborn Powered Gloves (Male),Armor,.rdata,0x142120,8,14,0,9,0,39,0,2000,2359305,200,9,0,35,0,113,2,0,0,5
450,Locans Ethereal Gloves (Female),Armor,.rdata,0x15ccc0,4000,0,256,0,0,0,0,269869132,269869120,50,0,0,0,0,51,51,51,63,5
500,Aramid Altered Gloves (Female),Armor,.rdata,0x1420a0,5,39,0,5,0,36,0,2000,2293765,100,5,0,29,0,250,0,0,0,5
518,Zapato Studded Boots (Female),Unknown,.rdata,0x1469c0,256,2053,0,0,0,0,0,38404096,67109464,34013703,0,0,0,0,0,0,0,0,5
540,Fake Easter Egg,Unknown,.rdata,0x177da0,512,4117,4117,204,57,17,16,269564364,269573404,0,0,0,0,0,0,0,0,0,5
550,SquiglyPig Milk,Unknown,.rdata,0x142320,19,36,0,19,0,35,0,3750,1048595,251,19,0,14,0,120,0,0,0,5
551,General Cao's Chicken,Unknown,.rdata,0x146a00,0,0,600,0,1,6,9,772,0,39190528,88,2,0,0,9,5,6,3,5
592,Phencyclidine,Unknown,.rdata,0x112080,560,4113,4113,112,2,17,16,269550224,269550256,269550288,240,2,17,16,16,3,17,16,5
600,Anabolica,Unknown,.rdata,0x111ca0,532,26,26,136,2,26,0,1704618,1704682,1704738,64,3,26,0,94,3,26,0,5
650,Green Patrol Jacket (Male),Unknown,.rdata,0x15e800,112,0,0,5,37,5,0,269866420,269866384,269866348,204,57,17,16,100,213,21,16,5
684,Utility Trenchcoat (Male),Unknown,.rdata,0x17fe60,1155,1,0,16,0,0,0,269793496,269564364,269564364,204,57,17,16,204,57,17,16,5
700,,Unknown,.rdata,0x1421a0,11,36,0,11,0,35,0,2200,1048587,56,11,0,29,0,70,0,0,0,5
750,,Unknown,.rdata,0x142380,21,35,0,21,0,0,0,61,196629,72,21,0,18,0,33,0,0,0,5
770,,Unknown,.rdata,0x145920,52429,15820,1540,0,0,0,0,1056964608,0,0,0,0,0,0,0,0,0,0,5
775,,Unknown,.rdata,0x15cd00,2,1,0,3,16,1,0,269869096,269678032,269677768,204,57,17,16,204,57,17,16,5
800,Excavator T-Shirt (Female),Unknown,.rdata,0x142400,24,17,0,25,0,39,0,5000,2359321,1600,25,0,35,0,166,14,0,0,5
828,Army Green Defense Jacket (Female),Unknown,.rdata,0x177a40,944,4117,4117,204,57,17,16,269822040,269836800,0,0,0,0,0,0,0,0,0,5
832,Gray Mining Jacket (Female),Unknown,.rdata,0x19d2a0,802,26,26,94,3,26,0,1704838,1704920,1705062,166,4,26,0,248,4,26,0,5
848,,Unknown,.rdata,0x1120a0,800,4113,4113,128,3,17,16,269550512,269550528,269550576,16,4,17,16,48,4,17,16,5
850,,Unknown,.rdata,0x15fb20,146,0,0,5,4,5,0,269863884,269866044,269863852,204,57,17,16,20,212,21,16,5
881,Patrol Skirt (Female),Unknown,.rdata,0x180400,1165,3,0,16,0,0,0,269793108,269564364,269564364,204,57,17,16,204,57,17,16,5
891,Gray Skirt (Female),Unknown,.rdata,0x180520,1167,2,0,16,0,0,0,269793028,269564364,269564364,204,57,17,16,204,57,17,16,5
900,,Unknown,.rdata,0x141ea0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
984,Golden Token,Unknown,.rdata,0x111cc0,902,26,26,102,4,26,0,1705126,1705208,1705378,146,1,26,0,84,1,26,0,5
988,Medical Unit,Medication,.rdata,0x1870c0,1,0,0,58,0,0,0,1,986,20,1,0,0,0,225,3,0,0,5
989,Mining Rig,Unknown,.rdata,0x145100,0,0,256,60,0,0,0,20,120,353280,232,253,1,0,179,4,1,0,5
995,Vortex Reactor,Unknown,.rdata,0x1453e0,0,0,256,172,13,0,0,1500,90,131097600,16,39,1,0,172,4,6,0,5
1000,Transport Storage,Unknown,.rdata,0x141e00,1000,0,0,0,202,154,59,4294967295,4294967295,1000,232,3,0,0,232,3,0,0,5
1016,Doberman Trenchcoat (Male),Unknown,.rdata,0x177920,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0,5
1024,Swamp Trenchcoat 1 (Male),Unknown,.rdata,0x142240,14,35,0,14,0,16,0,3500,2555919,4000,15,0,36,0,200,0,0,0,5
1100,GIS Trousers (Male),Unknown,.rdata,0x144ee0,2500,0,0,90,0,0,0,6579200,79536,197804,212,4,2,0,211,4,4,0,5
1136,Executive Trousers (Female),Unknown,.rdata,0x1120c0,1104,4113,4113,144,4,17,16,269550768,269550816,269550848,32,5,17,16,64,5,17,16,5
1159,Canister (Cobalt),Unknown,.rdata,0x144880,1200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1160,Canister (Copper),Unknown,.rdata,0x145a80,1203,1,1,1,1,2,6,0,1036831949,100926210,0,0,0,0,0,0,0,63,5
1168,Canister (Organic Material),Unknown,.rdata,0x143460,1198,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1170,Canister (Platinum),Unknown,.rdata,0x143120,1194,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1194,,Unknown,.rdata,0x143f20,10000,1,20,184,4,2,0,132279,66773,0,0,0,0,0,0,0,0,0,5
1195,Aluminium,Unknown,.rdata,0x1433a0,10000,1,8,214,4,2,0,132306,66739,66696,0,0,0,0,0,0,0,0,5
1196,Titanium Alloy,Unknown,.rdata,0x1444e0,10000,1,1,134,4,2,0,132245,263307,0,0,0,0,0,0,0,0,0,5
1197,Metal Alloy,Unknown,.rdata,0x143960,10000,0,3,178,4,2,0,66739,0,0,0,0,0,0,0,0,0,0,5
1198,Special Steel Alloy,Unknown,.rdata,0x143400,1196,8,10,175,4,4,0,132249,0,0,0,0,0,0,0,0,0,0,5
1200,Carbon,Unknown,.rdata,0x144580,0,0,256,10,0,0,0,5,30,6579200,16,39,1,0,130,4,6,0,5
1202,Bioplasma,Unknown,.rdata,0x143f80,1194,20,20,185,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5
1203,Plastics,Unknown,.rdata,0x1436e0,1197,6,1,0,0,0,0,263346,0,0,0,0,0,0,0,0,0,0,5
1205,CPU,Unknown,.rdata,0x1442c0,1198,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1207,Carbon Fiber,Unknown,.rdata,0x144d80,30,1,1,184,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1208,Professional Electronics,Unknown,.rdata,0x144860,0,0,256,144,1,0,0,100,30,6579200,16,39,1,0,137,4,2,0,5
1212,Titanium Syntactic Foam,Unknown,.rdata,0x1461a0,10,1,5,174,4,5,0,0,0,0,5,9,10,6,0,0,0,0,5
1221,Piercing Oculi,Unknown,.rdata,0x145f20,1196,2,1,0,0,0,0,0,0,100794625,0,0,0,0,205,204,204,61,5
1234,Xenomorph Endocrine Glands,Unknown,.rdata,0x143c40,10000,1,1,214,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1235,Plutonium,Unknown,.rdata,0x1430c0,10000,1,7,142,4,4,0,132274,0,0,0,0,0,0,0,0,0,0,5
1236,Aluminium Alloy,Unknown,.rdata,0x1450c0,1196,3,2,211,4,4,0,328882,0,0,0,0,0,0,0,0,0,0,5
1250,,Unknown,.rdata,0x1434a0,15,256,0,194,1,0,0,90,25600,75536,172,4,5,0,211,4,1,0,5
1280,,Unknown,.rdata,0x1468c0,1198,10000,1285,5,1,0,0,0,34930688,134218328,2,4,6,1,0,0,0,0,5
1314,,Unknown,.rdata,0x18fde0,13280,4112,6547,1,0,0,0,270078428,0,0,0,0,0,0,0,0,0,0,5
1320,,Unknown,.rdata,0x1776e0,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0,5
1346,,Unknown,.rdata,0x17ff80,1157,1,0,16,0,0,0,269793420,269564364,269564364,204,57,17,16,204,57,17,16,5
1350,,Unknown,.rdata,0x163fc0,314,0,0,5,5,8,0,269853920,269853876,269853840,204,57,17,16,128,164,21,16,5
1408,,Unknown,.rdata,0x1120e0,1376,4113,4113,160,5,17,16,269551056,269551104,269551136,80,6,17,16,112,6,17,16,5
1450,,Unknown,.rdata,0x15df00,34,4,0,3,9,1,0,269867524,269678056,269867500,204,57,17,16,204,57,17,16,5
1472,,Unknown,.rdata,0x1775c0,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0,5
1500,,Unknown,.rdata,0x142a40,1194,39,0,211,4,39,0,1500,2557099,1500,172,4,39,0,220,5,0,0,5
1506,,Unknown,.rdata,0x17fc20,1151,2,0,16,0,0,0,269793668,269564364,269564364,204,57,17,16,204,57,17,16,5
1536,,Unknown,.rdata,0x1469e0,591,600,1794,5,2,0,0,0,34734080,150995544,0,9,2,3,0,0,0,0,5
1594,,Unknown,.rdata,0x111ce0,1506,26,26,148,6,26,0,1704436,1698984,1699058,60,237,25,0,140,237,25,0,5
1600,,Unknown,.rdata,0x1424e0,31,36,0,31,0,35,0,3750,1114143,800,32,0,39,0,136,19,0,0,5
1624,,Unknown,.rdata,0x1774a0,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0,5
1712,,Unknown,.rdata,0x112100,1680,4113,4113,208,6,17,16,269551344,269551376,269551408,80,7,17,16,112,7,17,16,5
1750,,Unknown,.rdata,0x1640e0,316,0,0,5,5,8,0,269853648,269853604,269853568,204,57,17,16,112,163,21,16,5
1776,,Unknown,.rdata,0x177380,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0,5
1786,,Unknown,.rdata,0x19d440,1776,26,26,16,7,26,0,1705754,1705762,1705774,62,7,26,0,72,7,26,0,5
1800,,Unknown,.rdata,0x142f00,0,0,0,0,0,16,0,1,1068708659,1058642330,232,3,0,0,154,153,153,63,5
1826,Street Gang Jacket (Male),Unknown,.rdata,0x111e60,1818,26,26,46,7,26,0,1705790,1705800,1705810,98,7,26,0,110,7,26,0,5
1847,,Unknown,.rdata,0x17fd40,1153,3,0,16,0,0,0,269793584,269564364,269564364,204,57,17,16,204,57,17,16,5
1890,,Unknown,.rdata,0x19d460,1874,26,26,110,7,26,0,1705850,1705858,1705870,152,7,26,0,162,7,26,0,5
1922,,Unknown,.rdata,0x111e80,1914,26,26,142,7,26,0,1705880,1705890,1705900,182,7,26,0,192,7,26,0,5
1928,,Unknown,.rdata,0x177260,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0,5
1968,Lab Coat (Female),Unknown,.rdata,0x112120,1936,4113,4113,208,7,17,16,269551600,269551632,269551664,80,8,17,16,112,8,17,16,5
1974,,Unknown,.rdata,0x19d480,1964,26,26,192,7,26,0,1705952,1705984,1706012,56,8,26,0,78,8,26,0,5
2000,,Unknown,.rdata,0x1421e0,12,35,0,12,0,16,0,67,1900556,111,12,0,13,0,159,0,0,0,5
2048,,Unknown,.rdata,0x111ea0,2016,26,26,28,8,26,0,1706040,1706062,1706096,124,8,26,0,134,8,26,0,5
2080,,Unknown,.rdata,0x177140,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0,5
2172,Backer Skirt (Female),Unknown,.rdata,0x19d4a0,2160,26,26,134,8,26,0,1706128,1706138,1706146,170,8,26,0,180,8,26,0,5
2200,,Unknown,.rdata,0x142040,3,35,0,3,0,16,0,54,1900547,46,3,0,12,0,80,0,0,0,5
2202,,Unknown,.rdata,0x111ec0,2192,26,26,162,8,26,0,1706154,1706164,1706172,200,8,26,0,210,8,26,0,5
2224,,Unknown,.rdata,0x112140,2192,4113,4113,208,8,17,16,269551856,269551888,269551920,80,9,17,16,112,9,17,16,5
2232,,Unknown,.rdata,0x177020,2272,4117,4117,204,57,17,16,269573548,269836800,0,0,0,0,0,0,0,0,0,5
2248,,Unknown,.rdata,0x19d4c0,2236,26,26,210,8,26,0,1706204,1706214,1706222,248,8,26,0,2,9,26,0,5
2278,,Unknown,.rdata,0x111ee0,2268,26,26,238,8,26,0,1706232,1706242,1706250,18,9,26,0,26,9,26,0,5
2309,,Unknown,.rdata,0x1460a0,0,0,1546,0,0,0,0,1036831949,0,0,0,0,0,0,0,0,0,0,5
2322,,Unknown,.rdata,0x19d4e0,2314,26,26,26,9,26,0,1706274,1706284,1706292,70,9,26,0,88,9,26,0,5
2348,,Unknown,.rdata,0x111f00,2338,26,26,52,9,26,0,1706310,1706328,1706338,242,10,26,0,120,9,26,0,5
2420,,Unknown,.rdata,0x176f00,4132,4117,4117,204,57,17,16,269824780,269836800,0,0,0,0,0,0,0,0,0,5
2444,,Unknown,.rdata,0x111f20,2434,26,26,150,9,26,0,1706400,1706410,1706420,190,9,26,0,200,9,26,0,5
2494,,Unknown,.rdata,0x19d520,2484,26,26,200,9,26,0,1706450,1706460,1706470,242,9,26,0,252,9,26,0,5
2500,,Unknown,.rdata,0x142960,975,39,0,127,4,39,0,2500,2557056,2500,129,4,39,0,196,9,0,0,5
2512,,Unknown,.rdata,0x112160,2464,4113,4113,0,10,17,16,269552176,269552208,269552240,144,10,17,16,176,10,17,16,5
2524,,Unknown,.rdata,0x111f40,2514,26,26,230,9,26,0,1706482,1706492,1706502,16,10,26,0,30,10,26,0,5
2560,,Unknown,.rdata,0x1830a0,2,0,28233,116,101,114,102,795173729,1835363429,1937010277,47,115,107,105,108,108,115,47,5
2561,,Unknown,.rdata,0x187000,5,0,28233,116,101,114,102,795173729,1835363429,1937010277,47,115,107,105,108,108,115,47,5
2572,,Unknown,.rdata,0x176de0,4132,4117,4117,204,57,17,16,269824780,269836800,0,0,0,0,0,0,0,0,0,5
2576,,Unknown,.rdata,0x19d540,2566,26,26,30,10,26,0,1706536,1706554,1706560,72,10,26,0,86,10,26,0,5
2590,,Unknown,.rdata,0x1800a0,1159,1,0,16,0,0,0,269793340,269564364,269564364,204,57,17,16,204,57,17,16,5
2600,,Unknown,.rdata,0x180640,1169,4,0,16,0,0,0,269792948,269564364,269564364,204,57,17,16,204,57,17,16,5
2618,,Unknown,.rdata,0x111f60,2600,26,26,64,10,26,0,1706568,1706582,1706592,106,10,26,0,118,10,26,0,5
2621,,Unknown,.rdata,0x16c6e0,23836,4113,16087,0,0,192,64,0,100,8,1,1,1,1,1,1,1,1,5
2666,,Unknown,.rdata,0x19d560,2656,26,26,118,10,26,0,1706626,1706640,1706654,168,10,26,0,180,10,26,0,5
